Date,Open,High,Low,Close,Adj Close,Volume
2022-09-27,168.240005,170.000000,165.240005,166.009995,166.009995,5400700
2022-09-28,166.910004,169.619995,165.240005,168.669998,168.669998,5480900
2022-09-29,168.800003,169.139999,165.000000,166.610001,166.610001,5167700
2022-09-30,167.690002,168.240005,163.009995,163.259995,163.259995,5970900
2022-10-03,163.520004,165.690002,163.020004,165.250000,165.250000,5093400
2022-10-04,167.389999,168.729996,165.550003,167.110001,167.110001,4596800
2022-10-05,166.970001,167.089996,163.729996,166.000000,166.000000,3538600
2022-10-06,165.789993,166.020004,162.500000,162.800003,162.800003,4623400
2022-10-07,162.300003,163.009995,160.979996,161.610001,161.610001,4778200
2022-10-10,161.990005,163.039993,161.190002,161.820007,161.820007,4839200
2022-10-11,162.240005,164.270004,161.559998,162.589996,162.589996,5222600
2022-10-12,168.729996,170.699997,166.600006,169.389999,169.389999,9795300
2022-10-13,167.100006,175.039993,166.820007,174.610001,174.610001,8412700
2022-10-14,175.979996,176.259995,169.990005,170.190002,170.190002,5937900
2022-10-17,172.270004,173.589996,171.070007,172.729996,172.729996,6401800
2022-10-18,174.820007,176.910004,173.410004,175.059998,175.059998,4547400
2022-10-19,174.820007,175.839996,172.330002,173.360001,173.360001,5200200
2022-10-20,174.199997,174.360001,171.110001,171.460007,171.460007,4314000
2022-10-21,171.199997,173.690002,170.580002,173.059998,173.059998,5071500
